stop_id,stop_name,stop_lat,stop_lon,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
ITHS00954,Cossato,45.564216,8.175964,18990101,18860101,18990101,window_1886_1899,
ITHS00956,Coste Masnaga,45.76343,9.285231,19120101,19120101,19120101,exact,
ITHS00957,Costermano,45.5896042,10.7364845,18990101,18860101,18990101,window_1886_1899,
ITHS00958,Costigliole d'Asti,44.754882,8.20477,18850101,18770101,18850101,window_1877_1885,
ITHS00959,Cotrone,39.0806223,17.1271960,18760101,,18760101,open_by_1876,
ITHS00960,Cozzo,45.182989,8.603292,18990101,18860101,18990101,window_1886_1899,
ITHS00961,Crecchio,42.2985442,14.3268988,19140101,19140101,19140101,exact,
ITHS00962,Crema,45.366864,9.694209,18760101,,18760101,open_by_1876,
ITHS00963,Cremenaga,45.9889227,8.8021840,18990101,18860101,18990101,window_1886_1899,
ITHS00964,Cremona,45.143215,10.017951,18760101,,18760101,open_by_1876,
ITHS00965,Cremosina,46.0236738,8.3007271,18990101,18860101,18990101,window_1886_1899,
ITHS00966,Crescentino,45.194302,8.107175,18990101,18860101,18990101,window_1886_1899,
ITHS00967,Crespino,45.0011915,11.8855092,18990101,18860101,18990101,window_1886_1899,
ITHS00968,Cressa Fontaneto,45.646331,8.498435,18990101,18860101,18990101,window_1886_1899,
ITHS00969,Creva,45.9950957,8.7550298,18990101,18770101,18990101,window_1877_1899,
ITHS00970,Crevalcore,44.719156,11.152625,18990101,18860101,18990101,window_1886_1899,
ITHS00973,Crocetta,-9.019375697908,4.5112471566161,18990101,18860101,18990101,window_1886_1899,
ITHS00974,Crocicchie,42.0559,12.238888,18990101,18860101,18990101,window_1886_1899,
ITHS00975,Cropani,38.921968,16.813562,18850101,18770101,18850101,window_1877_1885,
ITHS00976,Crosa,45.6087650,8.1865230,19120101,19120101,19120101,exact,
ITHS00977,Crotone,39.0845,17.108418,18850101,18770101,18850101,window_1877_1885,
ITHS00978,Crucoli,39.449588,17.040718,18760101,,18760101,open_by_1876,
ITHS00980,Cucciago,45.740813,9.082205,18760101,,18760101,open_by_1876,
ITHS00981,Cucco,44.8532465,8.9403337,19100101,19100101,19100101,exact,
ITHS00982,Culmine,45.9021908,9.4939074,18990101,18770101,18990101,window_1877_1899,
ITHS00983,Cunardo,45.9374760,8.8012453,19050101,19050101,19050101,exact,
ITHS00984,Cuneo,44.387914,7.536235,18760101,,18760101,open_by_1876,
ITHS00985,Cunico,45.0399500,8.0967310,19130101,19130101,19130101,exact,
ITHS00986,Cuorgnè,45.38919,7.654662,19050101,19050101,19050101,exact,
ITHS00987,Cupra Marittima,43.02349,13.860812,18760101,,18760101,open_by_1876,
ITHS00988,Cureggio,45.672538,8.456282,19060101,19060101,19060101,exact,
ITHS00989,Curinga,38.840000517762,16.260928773888,18990101,18860101,18990101,window_1886_1899,
ITHS00990,Cutro,39.02593,16.963809,18760101,,18760101,open_by_1876,
ITHS00992,Cuzzago,45.993682,8.373989,18990101,18860101,18990101,window_1886_1899,
ITHS00993,Decimomannu,39.304593,8.965808,18760101,,18760101,open_by_1876,
ITHS00994,Decollatura,39.0477890,16.3550980,18990101,18860101,18990101,window_1886_1899,
ITHS00995,Dego,44.448003,8.308469,18760101,,18760101,open_by_1876,
ITHS00996,Deila,45.6143333,8.1639226,18990101,18860101,18990101,window_1886_1899,
ITHS00997,Deiva,44.2182308,9.5200465,18760101,,18760101,open_by_1876,
ITHS00998,Delebio,46.13865,9.461168,18850101,18770101,18850101,window_1877_1885,
ITHS00999,Delle,37.5160628,15.0966867,18990101,18770101,18990101,window_1877_1899,
ITHS01000,Dermulo,46.3381739,11.0625188,19100101,19100101,19100101,exact,
ITHS01001,Dervio,46.077709,9.30596,18990101,18860101,18990101,window_1886_1899,
ITHS01002,Desenzano,45.4694851,10.5389467,18760101,,18760101,open_by_1876,
ITHS01003,Desenzano del Garda-Sirmione,45.462677,10.536322,18990101,18860101,18990101,window_1886_1899,
ITHS01004,Desio,45.620112,9.218495,18760101,,18760101,open_by_1876,
ITHS01005,Desulo-Tonara,39.9932081,9.1814221,18990101,18860101,18990101,window_1886_1899,
ITHS01006,Diamante Buonvicino,39.67701,15.824278,18990101,18860101,18990101,window_1886_1899,
ITHS01007,Diano,43.916395509856,8.0783036263974,19310101,19150101,19310101,window_1915_1931,
ITHS01008,Diano Marina,43.9080136,8.0666753,18760101,,18760101,open_by_1876,
ITHS01010,Dicomano,43.893489,11.519148,19110101,19110101,19110101,exact,
ITHS01011,Diecimo-Pescasglia,43.959404,10.507844,18990101,18860101,18990101,window_1886_1899,
ITHS01012,Dinazzano,0.0,4.5112561156128,18990101,18860101,18990101,window_1886_1899,
ITHS01013,Dirillo,37.006569,14.39154,18990101,18860101,18990101,window_1886_1899,
ITHS01014,Dittaino,37.564605,14.462429,18990101,18860101,18990101,window_1886_1899,
ITHS01015,Dogna,46.4478748,13.3150568,18850101,18770101,18850101,window_1877_1885,
ITHS01016,Dolcè,45.6071056,10.8676247,18990101,18860101,18990101,window_1886_1899,
ITHS01018,Dolo,45.453466,12.07161,18760101,,18760101,open_by_1876,
ITHS01019,Domegliara,45.5223979,10.8204608,18760101,,18760101,open_by_1876,
ITHS01020,Domodossola,46.115429,8.296684,18990101,18860101,18990101,window_1886_1899,
ITHS01023,Donnafugata,36.882055,14.568968,18990101,18860101,18990101,window_1886_1899,
ITHS01024,Donnaz,44.818902,8.712792,18990101,18860101,18990101,window_1886_1899,
ITHS01025,Donori,39.4317971,9.1271532,18990101,18860101,18990101,window_1886_1899,
ITHS01026,Dorio,46.102756,9.319063,18990101,18860101,18990101,window_1886_1899,
ITHS01027,Dormelletto,45.7233,8.581906,19110101,19110101,19110101,exact,
ITHS01028,Dossobuono,45.392382,10.914831,18760101,,18760101,open_by_1876,
ITHS01030,Dubino,46.172802,9.432188,18990101,18860101,18990101,window_1886_1899,
ITHS01031,Due maestà,44.6597598,10.6508870,18990101,18860101,18990101,window_1886_1899,
ITHS01032,Dueville,45.635,11.546108,18850101,18770101,18850101,window_1877_1885,
ITHS01033,Dugenta,41.1322170,14.4524310,18760101,,18760101,open_by_1876,
ITHS01034,Duino,46.172802,9.432188,18760101,,18760101,open_by_1876,
ITHS01035,Eboli,40.611057,15.052382,18760101,,18760101,open_by_1876,
ITHS01036,Eca Nasagò,44.160769,7.965137,18990101,18860101,18990101,window_1886_1899,
ITHS01037,Edolo,46.176904222626,10.329405117497,18990101,18860101,18990101,window_1886_1899,
ITHS01040,Elini Ilbono,39.9002608,9.5306024,18990101,18860101,18990101,window_1886_1899,
ITHS01041,Ellera,38.4212868,16.5434663,18760101,,18760101,open_by_1876,
ITHS01042,Elmas,39.2680862,9.0496306,18850101,18770101,18850101,window_1877_1885,
ITHS01043,Empoli,43.715708,10.94915,18760101,,18760101,open_by_1876,
