from_stop_id,to_stop_id,route_id,date_opened,date_closed,evidence,line_name
ITHS00212,ITHS02412,ferrovia_castelbolognese_ravenna,18630101,,dated_line,ferrovia Castelbolognese-Ravenna
ITHS00213,ITHS01959,,,,current_only,
ITHS00218,ITHS01502,ferrovia_brescia_cremona,18660101,,dated_line,ferrovia Brescia-Cremona
ITHS00218,ITHS02592,ferrovia_brescia_cremona,18660101,,dated_line,ferrovia Brescia-Cremona
ITHS00222,ITHS01371,,,,current_only,
ITHS00222,ITHS01556,ferrovia_torino_ceres,18680101,,dated_line,ferrovia Torino-Ceres
ITHS00224,ITHS00703,,,,current_only,
ITHS00224,ITHS02976,,,,current_only,
ITHS00232,ITHS03194,,,,current_only,
ITHS00242,ITHS00415,prealpino_sant_eufemia,20130101,,dated_line,Prealpino-Sant'Eufemia
ITHS00251,ITHS02973,,,,current_only,
ITHS00253,ITHS01108,,,,current_only,
ITHS00260,ITHS00669,ferrovia_trento_venezia,18960101,,dated_line,ferrovia Trento-Venezia
ITHS00260,ITHS02385,ferrovia_bassano_padova,18770101,,dated_line,ferrovia Bassano-Padova
ITHS00265,ITHS01673,,,,current_only,
ITHS00267,ITHS01035,,,,current_only,
ITHS00270,ITHS01988,,,,current_only,
ITHS00270,ITHS02762,,,,current_only,
ITHS00278,ITHS00947,,,,current_only,
ITHS00281,ITHS01001,,,,current_only,
ITHS00284,ITHS01552,,,,current_only,
ITHS00285,ITHS01856,,,,current_only,
ITHS00287,ITHS02006,,,,current_only,
ITHS00288,ITHS02683,,,,current_only,
ITHS00291,ITHS01005,,,,current_only,
ITHS00296,ITHS01893,,,,current_only,
ITHS00298,ITHS02144,ferrovia_lecco_brescia,18630101,,dated_line,ferrovia Lecco-Brescia
ITHS00298,ITHS02697,ferrovia_lecco_brescia,18630101,,dated_line,ferrovia Lecco-Brescia
ITHS00300,ITHS01593,,,,current_only,
ITHS00300,ITHS02095,,,,current_only,
ITHS00310,ITHS01020,ferrovia_domodossola_milano,18600101,,dated_line,ferrovia Domodossola-Milano
ITHS00311,ITHS01674,,,,current_only,
ITHS00315,ITHS01425,,,,current_only,
ITHS00321,ITHS01982,,,,current_only,
ITHS00329,ITHS01644,,,,current_only,
ITHS00329,ITHS02973,,,,current_only,
ITHS00331,ITHS02161,,,,current_only,
ITHS00332,ITHS02183,ferrovia_varese_porto_ceresio,18940101,20090101,dated_line,ferrovia Varese-Porto Ceresio
ITHS00350,ITHS01146,,,,current_only,
ITHS00350,ITHS01410,,,,current_only,
ITHS00356,ITHS00520,,,,current_only,
ITHS00356,ITHS01238,,,,current_only,
ITHS00364,ITHS01099,,,,current_only,
ITHS00364,ITHS02058,,,,current_only,
ITHS00365,ITHS01699,,,,current_only,
ITHS00365,ITHS02026,,,,current_only,
ITHS00367,ITHS03126,,,,current_only,
ITHS00370,ITHS01964,,,,current_only,
ITHS00371,ITHS00636,,,,current_only,
ITHS00371,ITHS01236,,,,current_only,
ITHS00372,ITHS02165,ferrovia_pontremolese,18920101,,dated_line,ferrovia Pontremolese
ITHS00373,ITHS02378,,,,current_only,
ITHS00377,ITHS00907,,,,current_only,
ITHS00377,ITHS00968,,,,current_only,
ITHS00377,ITHS00988,,,,current_only,
ITHS00377,ITHS01268,,,,current_only,
ITHS00379,ITHS02612,,,,current_only,
ITHS00389,ITHS01310,,,,current_only,
ITHS00390,ITHS01076,,,,current_only,
ITHS00392,ITHS00975,,,,current_only,
ITHS00392,ITHS02344,,,,current_only,
ITHS00399,ITHS03081,,,,current_only,
ITHS00400,ITHS00785,,,,current_only,
ITHS00400,ITHS01336,,,,current_only,
ITHS00402,ITHS01516,,,,current_only,
ITHS00402,ITHS02039,,,,current_only,
ITHS00403,ITHS00816,,,,current_only,
ITHS00406,ITHS00587,,,,current_only,
ITHS00406,ITHS01954,,,,current_only,
ITHS00407,ITHS00844,,,,current_only,
ITHS00415,ITHS02079,,,,current_only,
ITHS00415,ITHS02592,ferrovia_brescia_cremona,18660101,,dated_line,ferrovia Brescia-Cremona
ITHS00417,ITHS00755,,,,current_only,
ITHS00419,ITHS03134,,,,current_only,
ITHS00420,ITHS02076,,,,current_only,
ITHS00422,ITHS03025,,,,current_only,
ITHS00425,ITHS01117,,,,current_only,
ITHS00427,ITHS00585,,,,current_only,
ITHS00427,ITHS01246,,,,current_only,
ITHS00428,ITHS02467,ferrovia_alessandria_piacenza,18580101,,dated_line,ferrovia Alessandria-Piacenza
ITHS00428,ITHS02830,ferrovia_alessandria_piacenza,18580101,,dated_line,ferrovia Alessandria-Piacenza
ITHS00441,ITHS01377,,,,current_only,
ITHS00445,ITHS02842,,,,current_only,
ITHS00450,ITHS01776,,,,current_only,
ITHS00451,ITHS00537,,,,current_only,
ITHS00451,ITHS01111,,,,current_only,
ITHS00453,ITHS00607,,,,current_only,
ITHS00456,ITHS01079,,,,current_only,
ITHS00456,ITHS02616,,,,current_only,
ITHS00458,ITHS02918,,,,current_only,
ITHS00459,ITHS02848,,,,current_only,
ITHS00460,ITHS01185,ferrovia_domodossola_milano,18600101,,dated_line,ferrovia Domodossola-Milano
ITHS00460,ITHS01394,ferrovia_domodossola_milano,18600101,,dated_line,ferrovia Domodossola-Milano
ITHS00461,ITHS01057,,,,current_only,
ITHS00461,ITHS01212,,,,current_only,
ITHS00465,ITHS01522,,,,current_only,
ITHS00465,ITHS01565,,,,current_only,
ITHS00466,ITHS01102,,,,current_only,
ITHS00466,ITHS02159,,,,current_only,
ITHS00472,ITHS02565,ferrovia_alessandria_san_giuseppe_di_cairo,18580101,,dated_line,ferrovia Alessandria-San Giuseppe di Cairo
ITHS00480,ITHS00490,,,,current_only,
ITHS00488,ITHS02435,,,,current_only,
ITHS00490,ITHS01412,,,,current_only,
ITHS00491,ITHS02218,ferrovia_viareggio_firenze,18480101,,dated_line,ferrovia Viareggio-Firenze
ITHS00492,ITHS00929,,,,current_only,
ITHS00499,ITHS01627,,,,current_only,
ITHS00500,ITHS01272,,,,current_only,
ITHS00502,ITHS00503,,,,current_only,
ITHS00502,ITHS02436,,,,current_only,
ITHS00503,ITHS01317,,,,current_only,
ITHS00503,ITHS01619,,,,current_only,
ITHS00504,ITHS03149,,,,current_only,
ITHS00505,ITHS02890,ferrovia_seregno_bergamo,18880101,,dated_line,ferrovia Seregno-Bergamo
ITHS00506,ITHS02360,,,,current_only,
ITHS00506,ITHS02831,,,,current_only,
ITHS00507,ITHS03196,,,,current_only,
ITHS00520,ITHS01466,,,,current_only,
ITHS00521,ITHS02996,,,,current_only,
ITHS00524,ITHS02588,,,,current_only,
ITHS00524,ITHS03150,,,,current_only,
ITHS00531,ITHS00563,,,,current_only,
ITHS00531,ITHS01071,,,,current_only,
ITHS00535,ITHS03156,,,,current_only,
ITHS00537,ITHS01111,,,,current_only,
ITHS00537,ITHS01376,,,,current_only,
ITHS00538,ITHS00909,,,,current_only,
ITHS00542,ITHS02316,,,,current_only,
ITHS00544,ITHS00831,,,,current_only,
ITHS00544,ITHS02887,,,,current_only,
ITHS00545,ITHS02103,,,,current_only,
ITHS00545,ITHS02659,,,,current_only,
ITHS00547,ITHS00697,ferrovia_montebelluna_camposampiero,18860101,,dated_line,ferrovia Montebelluna-Camposampiero
ITHS00548,ITHS00970,,,,current_only,
ITHS00548,ITHS02551,,,,current_only,
ITHS00550,ITHS01469,,,,current_only,
ITHS00550,ITHS01783,,,,current_only,
ITHS00550,ITHS01821,,,,current_only,
ITHS00553,ITHS00791,,,,current_only,
ITHS00554,ITHS00960,,,,current_only,
ITHS00556,ITHS01824,,,,current_only,
ITHS00558,ITHS01394,ferrovia_domodossola_milano,18600101,,dated_line,ferrovia Domodossola-Milano
ITHS00558,ITHS01969,ferrovia_domodossola_milano,18600101,,dated_line,ferrovia Domodossola-Milano
ITHS00561,ITHS02039,,,,current_only,
ITHS00563,ITHS00731,,,,current_only,
ITHS00563,ITHS02703,,,,current_only,
ITHS00565,ITHS02642,,,,current_only,
ITHS00565,ITHS02913,,,,current_only,
ITHS00580,ITHS00821,,,,current_only,
ITHS00580,ITHS01681,,,,current_only,
ITHS00581,ITHS00845,,,,current_only,
ITHS00581,ITHS02368,,,,current_only,
ITHS00584,ITHS00810,,,,current_only,
ITHS00585,ITHS03217,,,,current_only,
ITHS00589,ITHS02680,,,,current_only,
ITHS00593,ITHS01877,,,,current_only,
ITHS00593,ITHS03127,,,,current_only,
ITHS00594,ITHS02717,,,,current_only,
ITHS00594,ITHS03095,,,,current_only,
ITHS00597,ITHS02618,,,,current_only,
ITHS00600,ITHS02997,ferrovia_treviglio_cremona,18630101,,dated_line,ferrovia Treviglio-Cremona
ITHS00603,ITHS00978,,,,current_only,
ITHS00607,ITHS02625,,,,current_only,
ITHS00608,ITHS02259,,,,current_only,
ITHS00608,ITHS02779,,,,current_only,
ITHS00608,ITHS03189,,,,current_only,
ITHS00611,ITHS02151,,,,current_only,
ITHS00611,ITHS02864,,,,current_only,
ITHS00611,ITHS03106,,,,current_only,
ITHS00614,ITHS01907,,,,current_only,
ITHS00618,ITHS02363,,,,current_only,
ITHS00622,ITHS00882,,,,current_only,
ITHS00622,ITHS02027,,,,current_only,
ITHS00625,ITHS01237,,,,current_only,
ITHS00626,ITHS01875,,,,current_only,
ITHS00631,ITHS01140,,,,current_only,
ITHS00631,ITHS02186,,,,current_only,
