route_id,agency_id,valid_from,valid_to,region,source,confidence
ferrovia_lecco_milano,FS,19050101,,MAIN,rule,high
ferrovia_messina_siracusa,UNKNOWN_PRE1885,18660101,18850101,SIC,rule,low
ferrovia_messina_siracusa,RS,18850101,19060101,SIC,rule,medium
ferrovia_messina_siracusa,FS,19060101,,SIC,rule,high
ferrovia_milano_bologna,UNKNOWN_PRE1885,18610101,18850101,MAIN,rule,low
ferrovia_milano_bologna,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_milano_bologna,FS,19050101,,MAIN,rule,high
ferrovia_milano_bologna_av,FS,19050101,,MAIN,rule,high
ferrovia_milano_genova,UNKNOWN_PRE1885,18420101,18850101,MAIN,rule,low
ferrovia_milano_genova,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_milano_genova,FS,19050101,,MAIN,rule,high
ferrovia_milano_venezia,UNKNOWN_PRE1885,18420101,18850101,MAIN,rule,low
ferrovia_milano_venezia,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_milano_venezia,FS,19050101,,MAIN,rule,high
ferrovia_montebelluna_camposampiero,UNKNOWN_RM_RA,18860101,19050101,MAIN,rule,low
ferrovia_montebelluna_camposampiero,FS,19050101,,MAIN,rule,high
ferrovia_montebelluna_treviso,UNKNOWN_PRE1885,18840101,18850101,MAIN,rule,low
ferrovia_montebelluna_treviso,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_montebelluna_treviso,FS,19050101,,MAIN,rule,high
ferrovia_monza_molteno,FS,19050101,,MAIN,rule,high
ferrovia_mortara_milano,UNKNOWN_PRE1885,18540101,18850101,MAIN,rule,low
ferrovia_mortara_milano,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_mortara_milano,FS,19050101,,MAIN,rule,high
ferrovia_napoli_foggia,UNKNOWN_PRE1885,18670101,18850101,MAIN,rule,low
ferrovia_napoli_foggia,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_napoli_foggia,FS,19050101,,MAIN,rule,high
ferrovia_novara_alessandria,UNKNOWN_PRE1885,18540101,18850101,MAIN,rule,low
ferrovia_novara_alessandria,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_novara_alessandria,FS,19050101,,MAIN,rule,high
ferrovia_pisa_vada,UNKNOWN_PRE1885,18630101,18850101,MAIN,rule,low
ferrovia_pisa_vada,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_pisa_vada,FS,19050101,,MAIN,rule,high
ferrovia_pontebbana,UNKNOWN_PRE1885,18750101,18850101,MAIN,rule,low
ferrovia_pontebbana,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_pontebbana,FS,19050101,,MAIN,rule,high
ferrovia_pontremolese,UNKNOWN_RM_RA,18920101,19050101,MAIN,rule,low
ferrovia_pontremolese,FS,19050101,,MAIN,rule,high
ferrovia_roma_ancona,UNKNOWN_PRE1885,18660101,18850101,MAIN,rule,low
ferrovia_roma_ancona,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_roma_ancona,FS,19050101,,MAIN,rule,high
